CAS,CAS,Compound Name by Eybna,Compound Name,PubChem_CID,pubchemcid ,Eybna molecules,SMILES,Canonical_SMILES,Isomeric_SMILES,Canonical SMILES,Isomeric SMILES,Physical Description,Description,molecular type,Molecule family,Found in Cannabis,FEMA number,FEMA_No,Botanical Source,molecular mass (g/mol),Molecular Weight [g/mol],Empirical_Formula,molecular formula,Boiling Point [°C] @760 mmHg,boiling point (celsius),Melting Point [°C],Melting point (celcius),Density [g/cm3] @25 °C,density (g/cm3),Flash Point [°C],flash point (celsius),Vapor Pressure [mmHg] @25 °C,vapour pressure (kPa),Water Solubility [mg/L] @25 °C (water),Solubility General,Water Solubility (mg/l @ 20C),Physical State ,Physical State,Physical Description,Oral LD50 rat (mg/kg),Oral LD50 mouse (mg/kg),Dermal LD50 rabbit (mg/kg),ODT(ppb),aroma description,Aroma Color,Intensity (1-10),Flavor,Flavor,Odor,Odor,Odor Threshold,Long Description,Family Type
106-22-9,106-22-9,Citronellol,Citronellol,8842,8842,1,CC(CCC=C(C)C)CCO,CC(C)=CCCC(C)CCO,,CC(CCC=C(C)C)CCO,,"Dry Powder, Liquid, Other Solid; Liquid; Colorless to pale yellow liquid with a sweet floral odor; [EPA BRADs] Colorless liquid with a rose-like odor; [Acros Organics MSDS]; colourless oily liquid; rose-like aroma","Found in rose and geranium oils, citronellol has a sweet, floral fragrance. It's widely used in perfumes and mosquito repellents, noted for its ability to repel insects and soothe skin irritations.",Monoterpenic Alcohol,Oxygenated Aliphatics,1,2309,2309,Citronella oil,156.3,156.26,C10H20O,C10H20O,,223.8,-20,-20,,0.8549,,107,0.02,0.0053,200,"In water, 200 mg/L at 25 °C; In water, 307 mg/L at 25 °C; 300 mg/L at 20 °C; Soluble in fixed oils, propylene glycol; insoluble in glycerin; Miscible in ethanol and ether /(+)-citronellol/; very soluble in ethanol and ether /(-)-citronellol/; Insoluble in glycerol; slightly soluble in water; soluble in most fixed oils, propylene glycol; soluble (in ethanol)",307,liquid ,liquid,"Dry Powder, Liquid, Other Solid; Liquid; Colorless to pale yellow liquid with a sweet floral odor; [EPA BRADs] Colorless liquid with a rose-like odor; [Acros Organics MSDS]; colourless oily liquid; rose-like aroma",2790,,2650,[11-2200],"floral, freshy rosy",#9fffa4,,"Bitter taste /d-Citronellol/; sweet, peach-like flavor /l-citronellol/; Taste characteristics at 20 ppm: floral, rose, sweet and green with fruity citrus nuances",,Citronella,Fresh rosy odor; Rose odor,,"Fresh, floral, anti-mosquito spray. Citric rose, herbal","Floral, Fresh, Herbal"
150-84-5,150-84-5,Citronellyl Acetate,Citronellyl Acetate,9017,9017,1,CC(CCC=C(C)C)CCOC(=O)C,CC(=O)OCCC(C)CCC=C(C)C,,CC(CCC=C(C)C)CCOC(=O)C,,Liquid; colourless liquid/fruity odour,"Found in rose and geranium oils, citronellyl acetate is characterized by its fruity, floral aroma. It's used in perfumes and cosmetics for its rose-like scent and in flavorings for its fruity notes.",Acetate Ester,Oxygenated Aliphatics,1,2311,2311,Citronella oil,198.3,198.3,C12H22O2,C12H22O2,,239.8,,17.88,,0.888,,101.33,,0.00667,,"soluble in alcohol, most fixed oils; insoluble in glycerol, propylene glycol, water; 1 ml in 9 ml 70% alcohol (in ethanol)",Insoluble,liquid ,liquid,Liquid; colourless liquid/fruity odour,6800,,,1000,floral,#becf71,,,Nutty,Warm lemonade,,,"Sugar, floral, urine, lemonade, rotten scent, citronella, walnut","Citrus, Floral"
2244-16-8,2244-16-8,D-Carvone,D-Carvone,16724,16724,1,CC1=CC[C@@H](CC1=O)C(=C)C,C=C(C)C1CC=C(C)C(=O)C1,C=C(C)[C@H]1CC=C(C)C(=O)C1,CC1=CCC(CC1=O)C(=C)C,CC1=CC[C@@H](CC1=O)C(=C)C,"D-carvone appears as pale yellow or colorless liquid. (NTP, 1992); Liquid; ((+)-form) colourless to light yellow liquid with a caraway-like odour","Found in caraway and dill seeds, D-carvone is recognized for its spicy, rye bread-like aroma. It's utilized in culinary applications and as a flavoring agent in a variety of food products.",Monoterpene,Terpenes,1,2249,2249,"caraway, dill",150.2,150.22,C10H14O,C10H14O,230,231,15,15,,0.96,88.89,95.56,,0.0088,,"less than 1 mg/mL at 77 °F (NTP, 1992); 1300 mg/L at 18 °C; soluble in propylene glycol and most fixed oils; insoluble in glycerol; miscible with alcohol; 1 ml in 5 ml 60% alcohol (in ethanol)",Insoluble,liquid ,liquid,"D-carvone appears as pale yellow or colorless liquid. (NTP, 1992); Liquid; ((+)-form) colourless to light yellow liquid with a caraway-like odour",3710,,4000,"[6.7,820]",minty,,,,,,,,,
4695-62-9,4695-62-9,D-Fenchone,D-Fenchone,1201521,1201521,1,C[C@]12CC[C@H](C1)C(C2=O)(C)C,CC12CCC(C1)C(C)(C)C2=O,CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,CC1(C2CCC(C2)(C1=O)C)C,C[C@]12CC[C@H](C1)C(C2=O)(C)C,Colourless to pale yellow liquid; Camphoraceous aroma,"Found in fennel and basil, D-fenchone offers a camphoraceous, slightly sweet aroma. It's used in flavoring compounds and in aromatherapy, known for its refreshing and cooling effects.",Aliphatic Alcohol,Oxygenated Aliphatics,1,2479,2479,Thuja plicata,152.23,152.23,C10H16O,C10H16O,,193,,5.36,,0.945,,62.78,,0.062,,"Soluble in propylene glycol, vegetable oils; Insoluble in water; Soluble (in ethanol)",Insoluble,liquid ,liquid,Colourless to pale yellow liquid; Camphoraceous aroma,5628,,15800,510,balsamic,#61a9b1,,,,Minty moist,,,"Eucalyptus, minty, fresh, mold, stinky","Camphorous, Fresh"
6091-50-5,6091-50-5,D-Piperitone,D-Piperitone,61362,61362,0,CC1=CC(=O)[C@@H](CC1)C(C)C,CC1=CC(=O)C(C(C)C)CC1,CC1=CC(=O)[C@H](C(C)C)CC1,CC1=CC(=O)C(CC1)C(C)C,CC1=CC(=O)[C@@H](CC1)C(C)C,"Liquid; clear, light yellowish to yellow liquid","Present in dill and certain species of mint, D-piperitone has a mild, herbaceous, mint-like aroma. It's utilized in flavorings for its culinary applications and in aromatherapy for its soothing effects.",Ketone ,Oxygenated Aliphatics,1,2910,2910,,152.23,152.23,C10H16O,C10H16O,,234,-29,-20.2,,0.932,,90.56,,0.057,,insoluble in water; soluble in alcohol,Insoluble,liquid ,liquid,"Liquid; clear, light yellowish to yellow liquid",2450,,,,minty,,,,,,,,,
112-30-1,112-30-1,Decanol,Decanol,8174,8174,0,CCCCCCCCCCO,CCCCCCCCCCO,,CCCCCCCCCCO,,"Decyl alcohol appears as a clear colorless liquid with a sweet fat-like odor. Flash point 180 °F. Less dense than water and insoluble in water. Vapors are heavier than air.; Liquid; Clear liquid with a sweet odor; [CAMEO] Odor resembles orange flowers; [CHEMINFO]; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless liquid/floral, waxy, fruity odour","Sourced from coconut and palm oil, decanol has a light floral, citrus aroma. It's utilized in the production of detergents and emulsifiers, and in perfumery for its soft, subtle scent.",Fatty alcohol ,Oxygenated Aliphatics,1,2362,2365,Coconut oil,158.28,158.28,C10H22O,C10H21OH,230,232.9,6.67,6.4,,0.8297,82.22,108,0.00851,0.00851,37,"In water, 37 mg/L at 25 °C; Soluble in carbon tetrachloride; miscible in ethanol, ether, acetone, benzene, chloroform; 1:3 IN 60% ALCOHOL; Soluble in alcohol, ether, mineral oil, propylene glycol, fixed oils; Insoluble in glycerin water at 233 °C; Solubility in water, g/100ml at 20 °C: 0.37 (very poor); soluble in alcohol, ether, mineral oil, propylene glycol, most fixed oils; Insoluble in glycerin, water; 1 ml in 3 ml 60% alcohol (in ethanol)",Insoluble,liquid ,gas,"Decyl alcohol appears as a clear colorless liquid with a sweet fat-like odor. Flash point 180 °F. Less dense than water and insoluble in water. Vapors are heavier than air.; Liquid; Clear liquid with a sweet odor; [CAMEO] Odor resembles orange flowers; [CHEMINFO]; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless liquid/floral, waxy, fruity odour",4720,6500,3560,,"Fatty, floral ",,,"SLIGHT, CHARACTERISTIC FATTY TASTE",,,"Sweet odor; Floral, fruity odor; RESEMBLE ORANGE FLOWERS","Odor Threshold Low: 0.006 [ppm]; [CAMEO] Odor threshold from CHEMINFO; Detection threshold of pure chem: 2.1X10-1 mg/l, medium not specified",,
13466-78-9,13466-78-9,Delta-3-Carene,Delta-3-Carene,26049,26049,1,CC1=CCC2C(C1)C2(C)C,CC1=CCC2C(C1)C2(C)C,,CC1=CCC2C(C1)C2(C)C,,"Carene is a colorless liquid with a sweet, turpentine-like odor. Floats on water. (USCG, 1999); Liquid; Colorless liquid with a sweet, turpentine-like odor; [CAMEO]; Solid; Colourless to light pale liquid; fruity aroma","Found in cedarwood and pine trees, delta 3 carene has a sweet, pungent scent. It's used in the manufacture of cosmetics, perfumes, and as a drying agent in paints and varnishes, recognized for its anti-inflammatory properties.",Monoterpene,Terpenes,1,3821,3821,Turpentine oil,136.2,136.23,C10H16,C10H16,170,166,25,25,,0.857,,45,,2,,"Insoluble in water; soluble in benzene, pet ether; Slightly soluble (in ethanol)",Insoluble,liquid ,liquid,"Carene is a colorless liquid with a sweet, turpentine-like odor. Floats on water. (USCG, 1999); Liquid; Colorless liquid with a sweet, turpentine-like odor; [CAMEO]; Solid; Colourless to light pale liquid; fruity aroma",4800,,5000,,citrus,#673535,,,,Earthy gas,,,"Fresh, earthy, gasoline, citrus notes","Earthy, Fresh, Floral, Diesel"
5957-75-5,5957-75-5,Delta-8-THC,Delta-8-THC,638026,638026,0,CCCCCC1=CC(=C2[C@@H]3CC(=CC[C@H]3C(OC2=C1)(C)C)C)O,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)C)O,CCCCCC1=CC(=C2[C@@H]3CC(=CC[C@H]3C(OC2=C1)(C)C)C)O,,"Found in small amounts in cannabis, Delta 8 THC is known for its psychoactive properties. It's used medicinally for its antiemetic, anxiolytic, and appetite-stimulating effects.",cannabinoid,Cannabinoids,1,,,,314.5,314.5,C21H30O2,"C21H30O2
",,383.5,,,,1.0536,,11,,,,,,liquid ,,,860,27.5,,,,,,,,,,,,
103-36-6,103-36-6,Ethyl Cinnamate,Ethyl Cinnamate,637758,637758,1,CCOC(=O)/C=C/C1=CC=CC=C1,CCOC(=O)C=Cc1ccccc1,CCOC(=O)/C=C/c1ccccc1,CCOC(=O)C=CC1=CC=CC=C1,CCOC(=O)/C=C/C1=CC=CC=C1,"Liquid; Nearly colorless oily liquid with a fruity, balsamic odor like cinnamon; mp = 6-10 deg C; [Merck Index] Colorless liquid; [Alfa Aesar MSDS]; Colourless liquid, sweet balsamic-honey note","Derived from cinnamon and balsamic styrax, ethyl cinnamate has a sweet, balsamic aroma. It's used in perfumery for its warm, spicy scent and in flavorings to impart a cinnamon-like taste.",Ester,Oxygenated Aliphatics,1,2430,2430,Cinnamon bark,176.2,176.21,C11H12O2,C11H12O2,,271.6,,7,,1.044,,132.5,,0.00044,,insoluble in water; miscible in alcohols; miscible (in ethanol),Insoluble,liquid ,liquid,"Liquid; Nearly colorless oily liquid with a fruity, balsamic odor like cinnamon; mp = 6-10 deg C; [Merck Index] Colorless liquid; [Alfa Aesar MSDS]; Colourless liquid, sweet balsamic-honey note",4000,,,"[17,40]",balsamic,#c1ae8d,,,,Cinnamon,,,"Cinnabon, almond notes, strawberry bubblegum","Sweet, Nutty"
106-30-9,106-30-9,Ethyl Heptanoate,Ethyl Heptanoate,7797,7797,1,CCCCCCC(=O)OCC,CCCCCCC(=O)OCC,,CCCCCCC(=O)OCC,,"Liquid; Colourless liquid with a wine, brandy-like odour","Found in various fruits, ethyl heptanoate is known for its fruity, winey aroma. It's used in flavorings to impart a fruity note and in fragrances for its mild, pleasant scent.",Ester,Oxygenated Aliphatics,1,2437,2437,Castor oil /cane sugar/ sweet potato,158.2,158.24,C9H18O2,C9H18O2,,187.5,-66.1,-66,,0.867,,70.5,,0.091,,"0.29 mg/mL; Slightly soluble in most fixed oils and in propylene glycol, insoluble in water and glycerol; 1ml in 3ml 70% ethanol (in ethanol)",300,liquid ,liquid,"Liquid; Colourless liquid with a wine, brandy-like odour",34640,,,2,fruity,#b7e8a7,,,Sweet pineapple and pears,Fruity juice,,,"Aprictot, pineapple, tropical fruit juice, pineapple popsicle, pears","Sweet, Juicy, Fruity"
470-82-6,470-82-6,Eucalyptol,Eucalyptol,2758,2758,1,CC1(C2CCC(O1)(CC2)C)C,CC12CCC(CC1)C(C)(C)O2,,O2C1(CCC(CC1)C2(C)C)C,,"1,8-cineol is a colorless liquid with a camphor-like odor. Spicy cooling taste. (NTP, 1992); Other Solid; Liquid; Colorless liquid; [Merck Index]; Colorless mobile liquid; camphor like aroma","Found in eucalyptus leaves, eucalyptol is characterized by its fresh, minty aroma. It's a key ingredient in mouthwashes, cough suppressants, and insecticides, known for its respiratory benefits and cooling sensation.",Monoterpenic Ether,Oxygenated Aliphatics,1,2465,2465,Eucalyptus globulus,154.3,154.25,C10H18O,C10H18O,177.22,177,1.5,1.5,,0.92,49,52,1.9,0.122,,"Insoluble (<1 mg/ml at 68 °F) (NTP, 1992); 3500 mg/L (at 21 °C); In water, 3.50X10+3 mg/L at 21 °C; Miscible with ether, alcohol, chloroform, glacial acetic acid, and fixed or volatile oils; Soluble in alcohols, most fixed oils, glycerin, propylene glycol; 1:5 in 60% alcohol; Soluble in ethanol, ethyl ether; slightly soluble in carbon tetrachloride; Insoluble in water; miscible in oils; soluble (in ethanol)",3500,liquid ,liquid,"1,8-cineol is a colorless liquid with a camphor-like odor. Spicy cooling taste. (NTP, 1992); Other Solid; Liquid; Colorless liquid; [Merck Index]; Colorless mobile liquid; camphor like aroma",2480,,2480,[1-64],herbal,#7ff7ce,,"EUCALYPTUS, BITTER-SWEET FLAVOR; Pungent, cooling, spicy taste",,Cool eucalyptus oil,Camphor-like odor,,"Fresh, cold breath, camphorous, pine, spicy","Camphorous, Fresh, Herbal"
97-53-0,97-53-0,Eugenol,Eugenol,3314,3314,1,COC1=C(C=CC(=C1)CC=C)O,C=CCc1ccc(O)c(OC)c1,,OC1=C(C=CC(=C1)CC=C)O,,"Eugenol appears as clear colorless pale yellow or amber-colored liquid. Odor of cloves. Spicy pungent taste. (NTP, 1992); Other Solid; Liquid, Other Solid; Liquid; Colorless to pale yellow liquid with an odor of cloves; Darkened and thickened by air; [Merck Index] Colorless, light yellow, or amber liquid; [CAMEO]; Solid; Colourless to pale yellow liquid; Aroma of cloves","Found in cloves and cinnamon, eugenol offers a spicy, sweet aroma. It's widely used in dental products for its analgesic properties, in perfumery for its warm, comforting scent, and as a flavoring agent.",Phenol,Cyclic Oxygenated Compounds,1,2467,2467,Clove leaves,164.2,164.2,C10H12O2,C10H12O2,253.89,254,-9.11,-7.5,,1.06,103.89,104,1,0.002,2460,"less than 1 mg/mL at 68 °F (NTP, 1992); In water, 2460 mg/L at 25 °C; Miscible with alcohol, chloroform, ether, oils; one mL dissolves in 2 mL 70% alcohol; soluble in glacial acetic acid, in aqueous fixed alkali hydroxide solutions; Slightly soluble in water; Soluble in ether, most fixed oils; Soluble (in ethanol)",2.46g/L,liquid ,liquid,"Eugenol appears as clear colorless pale yellow or amber-colored liquid. Odor of cloves. Spicy pungent taste. (NTP, 1992); Other Solid; Liquid, Other Solid; Liquid; Colorless to pale yellow liquid with an odor of cloves; Darkened and thickened by air; [Merck Index] Colorless, light yellow, or amber liquid; [CAMEO]; Solid; Colourless to pale yellow liquid; Aroma of cloves",1930,3000,,,"spicy, floral ",#8d8185,,"Spicy, pungent taste","Clove, spicy",Cider,"Odor of cloves; Warm, spicy, floral",,"Pumpkin spice, cloves, apple cider, cinnamon, chestnuts, fireplace, smoky","Spicy, Nutty"
4602-84-0,4602-84-0,Farnesol,Farnesol,445070,445070,1,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,CC(C)=CCCC(C)=CCCC(C)=CCO,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,CC(=CCCC(=CCCC(=CCO)C)C)C,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,"Farnesol is a colorless liquid with a delicate floral odor. (NTP, 1992); Colorless liquid with a delicate floral odor; [Hawley]; Solid; Slightly yellow to colourless liquid; mild, oily, floral aroma","Derived from roses and jasmine, farnesol is known for its sweet, floral scent. It's used in perfumes and cosmetics, valued for its ability to enhance the scent of other ingredients and for its antimicrobial properties.",Sesquiterpene,Terpenes,1,2478,2478,Lemongrass oil,222.4,222.37,C15H26O,C15H26O,112.78,263,25,25,,0.8846,,96.11,,0.0000493,,Soluble in three volumes of 70% alcohol; SOL IN ALCOHOL: 1:3 IN 70% ALCOHOL; Solubility in alcohol: 1 mL in 1 mL 95% ethanol; Insoluble in water; Insoluble in water; soluble in oils; soluble (in ethanol),Insoluble,liquid ,liquid,"Farnesol is a colorless liquid with a delicate floral odor. (NTP, 1992); Colorless liquid with a delicate floral odor; [Hawley]; Solid; Slightly yellow to colourless liquid; mild, oily, floral aroma",6000,,5050,1000,floral,#d0d28a,,WEAK CITRUS-LIME TASTE,,Waxy Wood,"Delicate flowery odor; Mild, oily; WEAK CITRUS-LIME ODOR",,"Sour glue, light floral notes","Sour, Floral, Earthy"
1632-73-1,1632-73-1,Fenchol,Fenchol,15406,15406,1,CC1(C2CCC(C2)(C1O)C)C,CC12CCC(C1)C(C)(C)C2O,,CC1(C2CCC(C2)(C1O)C)C,,"Liquid, Other Solid; White to pale yellow crystals; Camphoraceous aroma","Sourced from basil and wild celery, fenchol has a camphoraceous, woody aroma. It's utilized in flavorings and perfumery, known for its antimicrobial activity and contribution to the aroma of many essential oils.",Monoterpenic Alcohol,Oxygenated Aliphatics,1,2480,2480,Artemisia santolineafolia,154.25,154.25,C10H18O,C10H18O,,202,40,42,,0.942,,73.89,,0.008,,Soluble in vegetable oils; Very slightly soluble in water; Soluble (in ethanol),870,solid,liquid,"Liquid, Other Solid; White to pale yellow crystals; Camphoraceous aroma",2050,,5000,10000000,camphoreous,#89e3e8,,,,Camphorous,,,"Fresh eucalyptus, lime peel notes, cooling, piney, medical inhalation","Camphorous, Fresh"
99-85-4,99-85-4,Gamma Terpinene,Gamma Terpinene,7461,7461,1,CC1=CCC(=CC1)C(C)C,CC1=CCC(C(C)C)=CC1,,CC1=CCC(=CC1)C(C)C,,"Liquid; Clear colorless liquid; [Sigma-Aldrich MSDS]; Colourless oily liquid; refreshing, herbaceous-citrusy aroma","Sourced from cumin and tea tree, gamma-terpinene is known for its spicy, herbal scent. It's used in the flavor and fragrance industries, noted for its antioxidant and antimicrobial activities.",Monoterpene,Terpenes,1,3559,3559,Papaya fruit,136.2,136.23,C10H16,C10H16,,183,-10,-10,,0.85,,51.6,,8.7,,0.00868 mg/mL at 22 °C; Insoluble in water; soluble in most fixed oils; Soluble (in ethanol),Insoluble,liquid ,liquid,"Liquid; Clear colorless liquid; [Sigma-Aldrich MSDS]; Colourless oily liquid; refreshing, herbaceous-citrusy aroma",3650,,5000,,woody,#7e8e7d,,,,Diesely glue,,,"Diesel with menthol notes, soil, leather","Diesel, Fresh"
106-24-1,106-24-1,Geraniol,Geraniol,637566,637566,1,CC(=CCC/C(=C/CO)/C)C,CC(C)=CCCC(C)=CCO,CC(C)=CCC/C(C)=C/CO,CC(=CCCC(=CCO)C)C,CC(=CCC/C(=C/CO)/C)C,"Geraniol is a colorless to pale yellow oily liquid with a sweet rose odor. (NTP, 1992); Liquid; Dry Powder, Liquid, Other Solid; Colorless to yellow liquid with geranium odor; [Hawley] Colorless liquid; [MSDSonline]; Liquid; Colourless liquid; rose-like aroma","Present in roses and palmarosa, geraniol boasts a sweet, floral scent. It's a popular component in perfumery and flavorings, appreciated for its antioxidant properties and potential in cancer treatment strategies.",Monoterpenic Alcohol,Oxygenated Aliphatics,1,2507,2507,Palmarosa oil,154.3,154.25,C10H18O,C10H18O,230,230,-15,-15,,0.8894,108,108,,0.004,100,"In water, 100 mg/L at 25 °C; Slightly soluble in water; Miscible with ether, acetone; 1:3 in 70% alcohol; For more Solubility (Complete) data for GERANIOL (7 total), please visit the HSDB record page.; 0.1 mg/mL at 25 °C; Insoluble in glycerol; slightly soluble in water; soluble in most fixed oils, propylene glycol; soluble (in ethanol)",100,liquid ,liquid,"Geraniol is a colorless to pale yellow oily liquid with a sweet rose odor. (NTP, 1992); Liquid; Dry Powder, Liquid, Other Solid; Colorless to yellow liquid with geranium odor; [Hawley] Colorless liquid; [MSDSonline]; Liquid; Colourless liquid; rose-like aroma",3600,,5000,[4-75],"floral, sweet rose",#ff9394,,"Taste threshold values: Taste characteristics at 10 ppm; sweet floral rose, citrus with fruity, waxy nuances",,Geranium,"Sweet rose odor; Pleasant geranium-like odor; Pleasant, floral odor",Aroma threshold values: Detection: 4 to 75 ppb.,"Sweet geranium, floral, citrus notes. Garden feeling, Rosy almost Malabi like.","Floral, Herbal, Fresh"
105-87-3,105-87-3,Geranyl Acetate,Geranyl Acetate,1549026,1549026,1,CC(=CCC/C(=C/COC(=O)C)/C)C,CC(=O)OCC=C(C)CCC=C(C)C,CC(=O)OC/C=C(\C)CCC=C(C)C,CC(=CCCC(=CCOC(=O)C)C)C,CC(=CCC/C(=C/COC(=O)C)/C)C,"Geranyl acetate is a clear colorless liquid with an odor of lavender. (NTP, 1992); Liquid; Clear colorless liquid with a sweet odor like lavender; [HSDB]; Solid; colourless liquid with a floral odour","Found in lemongrass and carrots, geranyl acetate is known for its fruity, floral scent reminiscent of roses. It's used in fragrances and flavorings, valued for its uplifting and anti-inflammatory properties.",Monoterpene,Terpenes,1,2509,2509,Palmarosa oil/ citronella oil/ cane sugar/ sweet potato,196.3,196.29,C12H20O2,C12H20O2,242.22,244,25,25,,0.907,93.33,109.5,,0.004,,"less than 1 mg/mL at 68 °F (NTP, 1992); 1.8 IN 70% ALCOHOL; SOL IN MOST ORG SOLVENTS; Soluble in most fixed oils; slightly soluble in propylene glycol.; Solubility in alcohol: 1 mL in 9 mL 70% alcohol; Insoluble in glycerol; soluble in alcohol, ether; For more Solubility (Complete) data for GERANYL ACETATE (6 total), please visit the HSDB record page.; soluble in alcohol, most fixed oils; slightly soluble in propylene glycol; insoluble in glycerine, water; 1 ml in 9 ml 70% alcohol (in ethanol)",Insoluble,liquid ,liquid,"Geranyl acetate is a clear colorless liquid with an odor of lavender. (NTP, 1992); Liquid; Clear colorless liquid with a sweet odor like lavender; [HSDB]; Solid; colourless liquid with a floral odour",6330,,5000,[9-460],floral,#9fec84,,"Taste threshold values: Taste characteristics at 20 ppm: Green, floral, fruity with a citrus nuance; Sweet, fruity, overall nondescript taste with notes resembling those of banana, pear, apple and peach, but not a purely sweet aftertaste.",,Citric blossom,"Odor of lavender; Sweet, fruity-floral, rosy, somewhat green and remotely Lavender-like odor of moderate tenacity.; Sweet, fragrant odor",Odor Threshold Low: 0.009 [ppm]; Odor Threshold High: 0.46 [ppm]; Odor threshold (detection) = 9 - 460 ppb; Aroma threshold values: Detection: 9 to 460 ppb,"Herbal, fresh, sweet tea, a bit perfumy. Citric blossom, green background.","Herbal, Floral, Citrus, Sweet"
106-29-6,106-29-6,Geranyl Butyrate,Geranyl Butyrate,5355856,5355856,1,CCCC(=O)OC/C=C(\C)/CCC=C(C)C,CCCC(=O)OCC=C(C)CCC=C(C)C,CCCC(=O)OC/C=C(\C)CCC=C(C)C,CCCC(=O)OCC=C(C)CCC=C(C)C,CCCC(=O)OC/C=C(\C)/CCC=C(C)C,"colourless to pale yellow liquid/fruity, rose-like odour","Found in roses and geraniums, geranyl butyrate has a fruity, floral aroma. It's used in perfumery to impart a fresh, sweet rose note and in flavorings for its fruity, green apple-like taste.",Fatty alcohol ester,Oxygenated Aliphatics,1,2512,2512,Palmarosa oil/ citronella oil/ cane sugar/ sweet potato,224.34,224.34,C14H24O2,C14H24O2,,152,,N/A,,0.896,,93.3,,0.0001,,"soluble in alcohol, most fixed oils; insoluble in glycerol, propylene glycol, water; 1 ml in 6 ml 80% alcohol (in ethanol)",Insoluble,liquid ,liquid,"colourless to pale yellow liquid/fruity, rose-like odour",5000,,5000,,rosy,#e08a56,,,,Sour Candy,,,"Floral notes, has a candy-like sweetness. Sour glue notes. Citric geranium.","Sour, Candy, Floral, Sweet"
1405-86-3,1405-86-3,Glycyrrhizic Acid,Glycyrrhizic Acid,14982,14982,1,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,Solid with intensely sweet taste; [Merck Index] Crystalline plates or prisms; [MSDSonline],"Found in licorice root, glycyrrhizic acid has a sweet, herbal taste. It's used in medicine for its anti-inflammatory and antiviral properties, and in food as a sweetener and flavor enhancer.",Triterpene glycoside,Oxygenated Aliphatics,1,2528,,Licorice root,822.9,822.9,C42H62O16,C42H62O16,,200,220,220,,1.1442,,287.78,,N/A,,"Easily soluble in hot water; Freely sol in hot water, alcohol; practically insol in ether; SLIGHTLY SOL IN ETHER",Soluble in hot water,solid,solid,Solid with intensely sweet taste; [Merck Index] Crystalline plates or prisms; [MSDSonline],3000,4320,,,spicy,#f7ecba,,Intensely sweet taste; The sweetness potency of glycyrrhizin is about 33X (10% sucrose solution sweetness equivalence).,,Sour-sweet,,,"Medice, acidic sugar, sweet-sour candy, protein powder","Sour, Sweet, Candy"
